Get Transaction Details,获取交易详情
TSYS Genius<i>Connect to TSYS Genius Gateway. Accept credit/debit/gift cards</i>,TSYS Genius<i>连接至 TSYS Genius 网关。支持信用卡/借记卡/礼品卡</i>
Production Name,生产环境名称
Production Site ID,生产环境站点 ID
Production Key,生产环境密钥
Production Web API Key,生产环境 Web API 密钥
Sandbox Name,沙箱名称
Sandbox Site ID,沙箱站点 ID
Sandbox Key,沙箱密钥
Sandbox Web API Key,沙箱 Web API 密钥
Gift Card PIN,礼品卡 PIN
TSYS TransIT<i>Connect to TSYS TransIT Gateway</i>,TSYS TransIT<i>连接至 TSYS TransIT 网关</i>
Production Merchant ID,生产环境商户 ID
Production Username,生产环境用户名
Production Password,生产环境密码
Production Device Id,生产环境设备 ID
Production TSEP Device Id,生产环境 TSEP 设备 ID
Production Transaction Key,生产环境交易密钥
Sandbox Merchant ID,沙箱商户 ID
Sandbox Username,沙箱用户名
Sandbox Password,沙箱密码
Sandbox Device Id,沙箱设备 ID
Sandbox TSEP Device Id,沙箱 TSEP 设备 ID
Sandbox Transaction Key,沙箱交易密钥
Transaction API<i>Connect to the Global Payments Transaction API</i>,交易 API<i>连接至 Global Payments 交易 API</i>
Production Public Key,生产环境公钥
Sandbox Public Key,沙箱公钥
Production API Key,生产环境 API 密钥
Sandbox API Key,沙箱 API 密钥
Production API Secret,生产环境 API 密钥密文
Sandbox API Secret,沙箱 API 密钥密文
Production Account Credential,生产环境账户凭据
Sandbox Account Credential,沙箱账户凭据
Region,地区
Fraud Management<i>General Fraud Management Settings </i>,欺诈管理<i>常规欺诈管理设置</i>
Enable Anti-Fraud Controls,启用反欺诈控制
Allow Suspicious,允许可疑交易
Email Store Owner on Suspicious Orders,可疑订单时通过电子邮件通知店主
Notification Email Address,通知邮箱地址
Fraud Text,欺诈提示文本
Max Velocity Attempts,最大频率尝试次数
Velocity Attempts Timeout,频率尝试超时时间
AVS CVV Result Management<i> Settings </i>,AVS / CVV 结果管理<i> 设置</i>
Check AVS/CVV Result,检查 AVS / CVV 结果
AVS Decline Codes,AVS 拒绝代码
CVV Decline Codes,CVV 拒绝代码
Global Payments - Affirm<i>Connect to Affirm via Unified Payments Gateway</i>,Global Payments - Affirm<i>通过统一支付网关连接至 Affirm</i>
Global Payments - Clearpay<i>Connect to Clearpay via Unified Payments Gateway</i>,Global Payments - Clearpay<i>通过统一支付网关连接至 Clearpay</i>
Global Payments - Klarna<i>Connect to Klarna via Unified Payments Gateway</i>,Global Payments - Klarna<i>通过统一支付网关连接至 Klarna</i>
Global Payments - Google Pay<i>Connect to Google Pay via Unified Payments Gateway</i>,Global Payments - Google Pay<i>通过统一支付网关连接至 Google Pay</i>
Global Payments Client ID,Global Payments 客户端 ID
"Your Client ID, provided by Global Payments.",由 Global Payments 提供的客户端 ID。
Google Merchant ID,Google 商户 ID
"Your Merchant ID, provided by Google.",由 Google 提供的商户 ID。
Google Merchant Display Name,Google 商户显示名称
Displayed to the customer in the Google Pay dialog.,在 Google Pay 对话框中向客户显示。
Accepted Cards,接受的卡种
Allowed Card Auth Methods,允许的卡片授权方式
Button Color,按钮颜色
Global Payments - Apple Pay<i>Connect to Apple Pay via Unified Payments Gateway</i>,Global Payments - Apple Pay<i>通过统一支付网关连接至 Apple Pay</i>
Apple Merchant ID,Apple 商户 ID
"Your Merchant ID, provided by Apple.",由 Apple 提供的商户 ID。
Apple Merchant Cert Path,Apple 商户证书路径
Apple Merchant Key Path,Apple 商户密钥路径
Apple Merchant Key Passphrase,Apple 商户密钥口令
Apple Merchant Domain,Apple 商户域名
Apple Merchant Display Name,Apple 商户显示名称
Displayed to the customer in the Apple Pay dialog.,在 Apple Pay 对话框中向客户显示。
Global Payments - Click To Pay<i>Connect to Click To Pay via Unified Payments Gateway</i>,Global Payments - Click To Pay<i>通过统一支付网关连接至 Click To Pay</i>
Click To Pay Client ID,Click To Pay 客户端 ID
Your Merchant ID provided by Click To Pay.,由 Click To Pay 提供的商户 ID。
Click To Pay will render natively within the payment form,Click To Pay 将在支付表单中以原生方式呈现
Click To Pay will render natively within the payment form.,Click To Pay 将在支付表单中以原生方式呈现。
Accept Canadian Visa debit cards,接受加拿大 Visa 借记卡
Accept Canadian Visa debit cards.,接受加拿大 Visa 借记卡。
Display Global Payments footer within the payment form,在支付表单中显示 Global Payments 页脚
Display Global Payments footer within the payment form.,在支付表单中显示 Global Payments 页脚。
Global Payments - Bank Payment<i>Connect to Bank Payment via Unified Payments Gateway</i>,Global Payments - 银行转账<i>通过统一支付网关连接至银行转账</i>
Account Number,账号
"Account number, for bank transfers within the UK (UK to UK bank). Only required if no bank details are stored on account.",账户号码，用于英国境内银行转账（英国银行之间）。仅在账户中未保存银行信息时才需要填写。
Account Name,账户名称
The name of the individual or business on the bank account. Only required if no bank details are stored on account.,银行账户对应的个人或公司名称。仅在账户中未保存银行信息时才需要填写。
Sort Code,银行排序代码
Six digits which identify the bank and branch of an account. Included with the Account Number for UK to UK bank transfers. Only required if no bank details are stored on account.,用于识别开户银行及其分支机构的六码代码。英国境内银行转账时需与账户号码一同提供，仅在账户中未保存银行信息时才需要填写。
IBAN,IBAN
"Key field for bank transfers for Europe-to-Europe transfers. Only required if no bank details are stored on account. <br/><br/>Only required for EUR transacting merchants.",“欧洲境内银行转账的关键字段。仅在账户中未保存银行信息时才需要填写。<br/><br/>仅适用于以欧元（EUR）交易的商户。”
Countries,国家
"Allows you to input a COUNTRY or string of COUNTRIES to limit what is shown to the customer. Including a country overrides your default account configuration. <br/><br/>Format: List of ISO 3166-2 (two characters) codes separated by a | <br/><br/>Example: FR|GB|IE",允许您输入一个或多个国家，以限制显示给客户的内容。制定国家将覆盖您的预设账户设定。<br/><br/> 格式：以 | 分隔的 ISO 3166-2（两个字元）国家代码清单 <br/><br/> 范例：FR|GB|IE」
Currencies,货币
Note: The payment method will be displayed at checkout only for the selected currencies.,注意：该支付方式仅会在所选货币下于结账时显示。
Global Payments - PayPal<i>Connect to PayPal via Unified Payments Gateway</i>,Global Payments - PayPal<i>通过统一支付网关连接至 PayPal</i>
Stored Payment Methods,已保存的支付方式
"Get your App Id and App Key from your <a href=""https://developer.globalpay.com/user/register"" target=""_blank"">Global Payments Developer Account</a>. When you are ready for Live, please contact <a href=""https://developer.globalpay.com/support/integration-support"" target=""_blank"">support</a> to get your live credentials.", 从您的 <a href='https://developer.globalpay.com/user/register' target='_blank'>Global Payments 开发者账户</a> 获取您的 App ID 和 App 密钥。当您准备好进入生产环境时，请联系 <a href='https://developer.globalpay.com/support/integration-support' target='_blank'>支持团队</a> 以获取您的生产环境凭据。
Transaction Region, 交易区域
API Endpoint, API 端点
Sandbox App Name, 沙箱 App 名称
Production App Name, 生产环境 App 名称
Note: The Payment Methods will not be displayed at checkout if the credentials are not correct., 注意：如果凭据不正确，支付方式将不会在结账时显示。
Payment Method, 支付方式
Enable Blik Payments, 启用 Blik 支付
Enable Bank Select Payments, 启用银行选择支付
A link to an About or Contact page on your website with customer care information (maxLength: 256), 指向您网站“关于”或“联系”页面的链接，包含客户支持信息（最大长度：256）
"For a list of available options, click the ‘Credentials Check’ button below.", 如需查看可用选项列表，请点击下方的“凭据检查”按钮。
"Choose how you would like customers to pay. 'Embedded' keeps the user on your site, 'Hosted' redirects customers to our secure server for payment.", 选择客户的支付方式。“嵌入式”将用户保留在您的网站上，“托管式”会将客户重定向至我们的安全服务器完成支付。
Redirect Text, 重定向提示文本
Accepted Wallets and APMs, 接受的钱包和 APM
Choose whether you wish to capture funds immediately or authorize payment only for a delayed capture., 选择是立即扣款，还是仅进行授权以便稍后扣款。
Log all request to and from gateway. This can also log private data and should only be enabled in a development or stage environment., 记录所有发送至和来自网关的请求。该功能可能会记录敏感数据，仅应在开发或测试环境中启用。
"If Fraud is set to Off in Real Control, you can’t override the setting with the setting from Admin Dashboard", 如果在 Real Control 中将欺诈防护设置为“关闭”，则无法通过管理控制台的设置进行覆盖。
"Note: to use the card saving feature, you must have multi-use token support enabled on your account. Please contact <a href=""https://developer.globalpay.com/support/integration-support"" target=""_blank"">support</a> with any questions regarding this option.", 注意：要使用卡片保存功能，您的账户必须启用多用途令牌支持。如有任何疑问，请联系<a href='https://developer.globalpay.com/support/integration-support' target='_blank'>支持团队</a>。
"During a Capture or Authorize payment action, this value will be passed along as the transaction-specific descriptor listed on the customer's bank account. Please contact <a href=""https://developer.globalpay.com/support/integration-support"" target=""_blank"">support</a> with any questions regarding this option (maxLength: 25).", 在进行扣款或授权支付操作时，该值将作为交易特定描述符传递给客户的银行账户。如有任何疑问，请联系<a href='https://developer.globalpay.com/support/integration-support' target='_blank'>支持团队</a>（最大长度：25）。
